UH2C - MATRICE DES FONCTIONNALITES ÉTENDUE

| MODULES | FONCTIONNALITES | TACHES | SOUS TACHES | FE/BE | ESTIMATION J/H | AFFECTATION |
|---------|-----------------|--------|-------------|-------|----------------|-------------|
| PUBLICATIONS | Ajout manuel d'une publication | Formulaire d'ajout de la publication | Création de l'interface formulaire | FE | 12 | |
| PUBLICATIONS | Ajout manuel d'une publication | Formulaire d'ajout de la publication | Validation des champs (client-side) | FE | 8 | |
| PUBLICATIONS | Ajout manuel d'une publication | Formulaire d'ajout de la publication | API Create Publication (POST) | BE | 6 | |
| PUBLICATIONS | Ajout manuel d'une publication | Formulaire d'ajout de la publication | Sauvegarde en base de données | BE | 3 | |
| PUBLICATIONS | Ajout manuel d'une publication | Affichage de la liste des publications | Affichage de la liste des publications | FE | 10 | |
| PUBLICATIONS | Ajout manuel d'une publication | Affichage de la liste des publications | API Read Publication (GET) | BE | 4 | |
| PUBLICATIONS | Ajout manuel d'une publication | Modification publication | Modification publication (UI) | FE | 12 | |
| PUBLICATIONS | Ajout manuel d'une publication | Modification publication | API Update Publication | BE | 6 | |
| PUBLICATIONS | Ajout manuel d'une publication | Suppression publication | Suppression publication (UI + confirmation) | FE | 6 | |
| PUBLICATIONS | Ajout manuel d'une publication | Suppression publication | API Delete Publication (DELETE) | BE | 3 | |
| PUBLICATIONS | Ajout manuel d'une publication | Affichage détail publication | Affichage détail publication (UI) | FE | 8 | |
| PUBLICATIONS | Ajout manuel d'une publication | Affichage détail publication | API Détail Publication (GET/{id}) | BE | 3 | |
| PUBLICATIONS | Ajout automatique des publications | Consommation API WOS | Connexion API WOS | BE | 8 | |
| PUBLICATIONS | Ajout automatique des publications | Consommation API WOS | Traitement des données WOS | BE | 12 | |
| PUBLICATIONS | Ajout automatique des publications | Consommation API WOS | Insertion automatique publications | BE | 6 | |
| PUBLICATIONS | Ajout automatique des publications | Consommation API SCOPUS | Connexion API SCOPUS | BE | 8 | |
| PUBLICATIONS | Ajout automatique des publications | Consommation API SCOPUS | Traitement des données SCOPUS | BE | 12 | |
| PUBLICATIONS | Ajout automatique des publications | Consommation API SCOPUS | Insertion automatique publications | BE | 6 | |
| COMMUNICATIONS | Ajout manuel d'une communication | Formulaire d'ajout de communication | Interface de saisie | FE | 10 | |
| COMMUNICATIONS | Ajout manuel d'une communication | Formulaire d'ajout de communication | Validation des données | FE | 6 | |
| COMMUNICATIONS | Ajout manuel d'une communication | Formulaire d'ajout de communication | API Create Communication | BE | 6 | |
| COMMUNICATIONS | Ajout automatique des communications | Consommation API HAL | API HAL Integration | BE | 8 | |
| COMMUNICATIONS | Ajout automatique des communications | Consommation API HAL | Traitement données HAL | BE | 10 | |
| COMMUNICATIONS | Ajout automatique des communications | Consommation API arXiv | API arXiv Integration | BE | 8 | |
| COMMUNICATIONS | Ajout automatique des communications | Consommation API arXiv | Traitement données arXiv | BE | 10 | |
